PROLIFIC_PID,Validity,Condition,Freq,RT
6165ab1d62dc48b90438ea1d,Valid,S2-R,31,684.5161290322662
616fe12dc33a81b79f5d958a,invalid,S1-R Coloured,10,NA
616fe12dc33a81b79f5d958a,invalid,S2-R,18,NA
616fe12dc33a81b79f5d958a,Valid,S1-R Coloured,10,413.149999999996
616fe12dc33a81b79f5d958a,Valid,S2-R,22,276.0909090888917
61f2ad60a09e72f23cbaf86d,invalid,S1-R Coloured,15,NA
61f2ad60a09e72f23cbaf86d,invalid,S2-R,18,NA
61f2ad60a09e72f23cbaf86d,Valid,S1-R Coloured,5,169.06000000240056
61f2ad60a09e72f23cbaf86d,Valid,S2-R,22,244.80909090422125
622b64053557c445641d767a,invalid,S1-R Coloured,0,NA
622b64053557c445641d767a,invalid,S2-R,7,NA
622b64053557c445641d767a,Valid,S1-R Coloured,20,596.7899999991062
622b64053557c445641d767a,Valid,S2-R,33,662.9545454518393
627e807715abf2361938fd68,invalid,S1-R Coloured,10,NA
627e807715abf2361938fd68,invalid,S2-R,21,NA
627e807715abf2361938fd68,Valid,S1-R Coloured,10,442.469999992818
627e807715abf2361938fd68,Valid,S2-R,19,537.5263157957306
6286672d0165aad8f1386c27,invalid,S1-R Coloured,12,NA
6286672d0165aad8f1386c27,invalid,S2-R,13,NA
6286672d0165aad8f1386c27,Valid,S1-R Coloured,8,488.8124999981329
6286672d0165aad8f1386c27,Valid,S2-R,27,617.4296296305067
628bbdac4ba783931f487fd8,invalid,S1-R Coloured,10,NA
628bbdac4ba783931f487fd8,invalid,S2-R,22,NA
628bbdac4ba783931f487fd8,Valid,S1-R Coloured,10,193.7999999985152
628bbdac4ba783931f487fd8,Valid,S2-R,18,309.1611111114313
628fc75b2561940f60f57b37,invalid,S1-R Coloured,8,NA
628fc75b2561940f60f57b37,invalid,S2-R,25,NA
628fc75b2561940f60f57b37,Valid,S1-R Coloured,12,889.4250000019875
628fc75b2561940f60f57b37,Valid,S2-R,15,811.6733333349126
629082739390703f993b12bd,invalid,S1-R Coloured,6,NA
629082739390703f993b12bd,invalid,S2-R,22,NA
629082739390703f993b12bd,Valid,S1-R Coloured,14,818.8857142872052
629082739390703f993b12bd,Valid,S2-R,18,907.0166666681512
6294c3c360a62ab4c18a4ffd,invalid,S1-R Coloured,9,NA
6294c3c360a62ab4c18a4ffd,invalid,S2-R,15,NA
6294c3c360a62ab4c18a4ffd,Valid,S1-R Coloured,11,668.6727272705391
6294c3c360a62ab4c18a4ffd,Valid,S2-R,25,808.1280000019251
629552d66a0ad893867fa675,invalid,S1-R Coloured,10,NA
629552d66a0ad893867fa675,invalid,S2-R,10,NA
629552d66a0ad893867fa675,Valid,S1-R Coloured,10,596.4700000047856
629552d66a0ad893867fa675,Valid,S2-R,30,633.3866666714243
62964243018e89ba8d83384b,invalid,S1-R Coloured,10,NA
62964243018e89ba8d83384b,invalid,S2-R,19,NA
62964243018e89ba8d83384b,Valid,S1-R Coloured,10,387.6400000005958
62964243018e89ba8d83384b,Valid,S2-R,21,351.0476190472624
